,User,Tweet,Like Count,Retweet count,Education Affiliation,Sentiment,Subjectivity,Opinion Expressed
0,MrsWall08620646,"After a lovely chat with @OBWax in June, I am now in a TIME magazine article 🤯Who would have thought #AIineducation… https://t.co/FJGsttjWsU",4,0,FALSE,Positive,Very biased,FALSE
1,13esu,"RT @ESUCC: Interested in learning more about #AIinEducation?🤖
Then check out this #SocialPD Story from @lherr of @esu6pd on #chatgpt4 and h…",0,2,FALSE,Positive,Slightly biased,FALSE
2,ellen_nayeli,"Exciting News from AcademicHelp🚀
We are pumped to introduce the Learning Hub 👨‍🎓 👩‍🎓 And we are kicking off with Fr… https://t.co/N8jamUWOhG",0,0,FALSE,Positive,Very biased,FALSE
3,lacoe_ito,"@MJMadda @Google @Choangy1 Thank you, Dr. Madda. Your keynote was an eye-opening, inspirational, and fun way to kic… https://t.co/jB3nmN85iY",0,0,FALSE,Positive,Very biased,FALSE
4,HeidiSiwak,Check out my latest article: Helping Children Become Thoughtful Users of Generative AI (Part1)… https://t.co/nKQYNJWQZt,1,0,FALSE,Positive,Very biased,TRUE
5,therealjpittman,Harvard researchers are exploring new ways to utilize ChatGPT in education. Discover how this technology is transfo… https://t.co/GMejZ2Qjcm,0,0,FALSE,Positive,Slightly biased,TRUE
6,lightspeedsys,"TODAY! | #AI is the hottest 🔥 topic in #edtech right now, so you don't want to miss this! Join  our Lightspeed Lear… https://t.co/hKBeDwRniY",0,0,FALSE,Positive,Very biased,FALSE
7,HMustaqbil,"Let's continue exploring the limitless possibilities of AI together!

#hamaramustaqbil #skillshareweek #aiineducation",0,0,FALSE,Positive,Slightly biased,TRUE
8,EduaideAi,"RT @leaningshane: Imagine a future where AI supports personalisation for every student, tailoring lessons to unique needs. Less workload fo…",0,1,TRUE,Positive,Very biased,TRUE
9,bruff73,"🤝 Join our session on ethical AI use in education! Educators and administrators will explore biases, privacy, and r… https://t.co/WsehTt6CLD",0,0,FALSE,Positive,Slightly biased,TRUE
10,Stottack_Tech,"Check out these fantastic AI books! 🔥 📘 
.
.
#AI, #ArtificialIntelligence, #MachineLearning, #DataScience,… https://t.co/Hwc3iKkGXG",1,0,FALSE,Positive,Very biased,FALSE
11,HarvardBizEdu,"Will #AI replace the educator?  

Join professors David Lefevre and @DavidShrier of @ImperialBiz to learn more abou… https://t.co/Hz3Kb9d2XU",0,0,TRUE,Positive,Slightly biased,FALSE
12,alaba_ai,"Take a look at the future of #knowledge with LLM!!!🧐

https://t.co/DUkWZACsLJ

#ai #automation #LLM #ChatGPT… https://t.co/LqiEd1QD8g",0,0,FALSE,Neutral,Very biased,TRUE
13,ShellTerrell,"RT @leadlearnlab: 💥 New Blog Post: AI in Education: Friend or Foe?
💡 Decoding the Power of Responsible Use 
🔗 https://t.co/JnjqqMRms0 

#AI…",0,1,FALSE,Positive,Very biased,TRUE
14,leadlearnlab,"💥 New Blog Post: AI in Education: Friend or Foe?
💡 Decoding the Power of Responsible Use 
🔗 https://t.co/JnjqqMRms0… https://t.co/9owLZMwrMz",1,1,TRUE,Positive,Very biased,TRUE
15,SarahRLasseter,"Excited to share my latest #YouTube video on AI Video Tools for students &amp; teachers: https://t.co/X0u2RxjhaV
Explor… https://t.co/E8gC9bR0jz",0,0,FALSE,Positive,Very biased,TRUE
16,ReidMcLain,"RT @MyEdTechLife: 🎧 TONIGHT on #MyEdTechLife: Explore the future of learning with @margiemeacham, ""The Brain Lady!"" 

Dive into AI, neurosc…",0,1,FALSE,Neutral,Slightly biased,FALSE
17,webhostville,"Exploring the Transformative Trends Shaping EdTech https://t.co/tNz39S5hbX

The transformative trends in EdTech are… https://t.co/h9aYGqAZ7L",0,0,FALSE,Neutral,Factual,TRUE
18,ClassPointIo,Transform your education experience with AI! The A-Z guide to AI in Education 2023 covers everything from history t… https://t.co/egDFsmE4rV,1,2,FALSE,Neutral,Factual,TRUE
19,EdTechEurope,"🏆In this week's 2023 EdTechX Award Winner spotlight, CEO Dr. Sven Schütt shares insights into IU Group's approach a… https://t.co/yalUv0nCnv",0,0,FALSE,Neutral,Factual,FALSE
20,digitalenabled,@davidjmalan hit the nail on the head regarding #AIinEducation “... support students as we can through software and… https://t.co/xYEhweE4He,0,0,FALSE,Neutral,Factual,TRUE
21,leaningshane,"Imagine a future where AI supports personalisation for every student, tailoring lessons to unique needs. Less workl… https://t.co/ub0aC7nWFu",3,1,FALSE,Positive,Slightly biased,TRUE
22,cherylabla,"RT @Rdene915: Now scheduling summer PD &amp; small group coaching. Want to learn more about #AI, #chatgpt, #AR #VR #STEM and more?  #education…",0,3,FALSE,Positive,Slightly biased,FALSE
23,DailyAIEdu,Dive deep into the next-gen learning! Uncover how AI technologies revolutionize STEM education in the past decade!… https://t.co/5IvRhs6ifP,0,0,TRUE,Negative,Slightly biased,TRUE
24,EduaideAi,RT @leaningshane: The big questions: Does #AI make teachers obsolete? How to use it effectively and ethically? New insights from @EduaideAi…,0,1,TRUE,Positive,Slightly biased,TRUE
25,leaningshane,The big questions: Does #AI make teachers obsolete? How to use it effectively and ethically? New insights from… https://t.co/cime6DcLQo,4,1,FALSE,Positive,Slightly biased,TRUE
26,KristinOropeza,"RT @lacoe_ito: We would like to extend a big thank you to @SueThotz , @thatdopeteacher, and the other presenters at the #LACOE AI Symposium…",0,1,FALSE,Negative,Slightly biased,FALSE
27,EduLinkAI,🎉 NSW high schools are introducing 4 new digital &amp; IT subjects in 2024! 📚 This major curriculum overhaul includes A… https://t.co/jmbJKopdDQ,0,0,TRUE,Positive,Slightly biased,FALSE
28,SunshineOdoji,"📷 Exciting times at Schoolinka! 📷📷 Recently, I had the privilege of sharing the wonders of Artificial Intelligence… https://t.co/jQj0qDBTK0",1,0,FALSE,Positive,Very biased,TRUE
29,AITeacherNet,"What place does ChatGPT have within the writing process, and how do we integrate ChatGPT into the writing classroom… https://t.co/KYRVhxsdtg",0,0,TRUE,Neutral,Factual,TRUE
30,AITeacherNet,"RT @AITeacherNet: Are you an educator who's hesitant to embrace AI? Fear not! In this post, we explore how ChatGPT can make your teaching r…",0,1,TRUE,Neutral,Factual,TRUE
31,ZeinaChalich,"Will #AI wipe out architects? 🛕

The ability to create Corbusier-style marvels and 500-room hotels with just a clic… https://t.co/0RewFN5FRJ",0,0,FALSE,Negative,Factual,TRUE
32,lacoe_ito,"We would like to extend a big thank you to @SueThotz , @thatdopeteacher, and the other presenters at the #LACOE AI… https://t.co/gb16I2diQS",11,1,FALSE,Positive,Slightly biased,FALSE
33,DavidHurwitz,"A new dawn of education is in the offing due to the confluence of four things: Apple Vision, newly capable #AI, the… https://t.co/mDkrWvL6ED",1,0,FALSE,Positive,Slightly biased,TRUE
34,DavidHurwitz,Parentally controlled ed $$$ = breakout opportunity for @Apple Vision Personal Tutors. #MoneyFollowsTheChild will l… https://t.co/HWYkpfaDqH,1,0,FALSE,Neutral,Slightly biased,TRUE
35,JoinCyberSquare,"Congratulations to St. Xavier's School in Mansa, Punjab, for embracing the future of education! 

Visit… https://t.co/BNQwyYAsGo",0,0,FALSE,Neutral,Slightly biased,FALSE
36,arieda_muco,🚀 In this article I discuss Chat-GPT became my  teaching partner this year. #AIinEducation #ChatGPT #CollaborativeLearning  #EdTech,0,0,FALSE,Neutral,Factual,TRUE
37,kduttnk,RT unicon Discover how we leveraged ML to create supercharged student groups for dynamic classroom activities in ou… https://t.co/WhSZ3nLL7j,0,0,FALSE,Neutral,Slightly biased,TRUE
38,unicon,Discover how we leveraged ML to create supercharged student groups for dynamic classroom activities in our free ebo… https://t.co/KtYOhZ3Qco,0,0,FALSE,Positive,Slightly biased,TRUE
39,iJanetteCamacho,"👩‍🏫🧠 Embrace AI in Education! Join me at #IETC in Springfield, IL, Nov 1-3 🗓️. Learn about professional training, e… https://t.co/JLvrlTYYVj",5,0,FALSE,Positive,Slightly biased,TRUE
40,Ed3educators,"RT @Ed3DAO: ChatGPT &amp; clones are revolutionizing education! Educators are preparing to utilize this AI, transforming classrooms &amp; student s…",0,1,TRUE,Positive,Factual,TRUE
41,GlobalEdAction,Ready to explore the potential of #AI in education? Start with our curated collection: https://t.co/kZVF64HpmW #AIinEducation #AImpactEd,2,2,FALSE,Positive,Very biased,TRUE
42,Ed3DAO,"ChatGPT &amp; clones are revolutionizing education! Educators are preparing to utilize this AI, transforming classrooms… https://t.co/QtoWwvrjCK",2,1,FALSE,Positive,Factual,TRUE
43,MyEdTechLife,"🎧 TONIGHT on #MyEdTechLife: Explore the future of learning with @margiemeacham, ""The Brain Lady!"" 

Dive into AI, n… https://t.co/xxdRs7ijAR",7,1,FALSE,Neutral,Slightly biased,TRUE
44,ButlerCountyESC,"📢 Calling all educators &amp; administrators!
Share your expertise at the National Conference on AI for K-12 Educators!… https://t.co/P5JS6pLo4T",3,0,FALSE,Neutral,Factual,FALSE
45,TerryKTeacher,Students at @ssisschool were candid about the role of AI in their learning. They want to learn how to use AI effici… https://t.co/ZbHIh2XC5I,2,0,TRUE,Positive,Very biased,TRUE
46,leadlearnlab,"💥 New Blog Post: AI in Education: Friend or Foe? 
💡 Uncover how leaders can use AI responsibly for effective learni… https://t.co/bzmxkmPMzn",0,0,TRUE,Positive,Very biased,TRUE
47,StridefutureT,"""Learning's Future: Embracing the Power of AI in Education!
.
.
.
#AIinEducation #techforward #educationrevolution… https://t.co/S6kaNpJvL1",1,0,FALSE,Neutral,Slightly biased,TRUE
48,quaruleinc1,"Can universities spot ChatGPT? 
Unveiling ChatGPT in universities hinges on multiple factors. Yet, institutions can… https://t.co/UX7pfIgObo",0,0,FALSE,Neutral,Factual,TRUE
49,LiamDawson7379,🌟 Discover the future of education with Soffos AI - a revolutionary AI solution! 🚀📚 Embrace the cutting-edge techno… https://t.co/Mz5SHAYtpy,0,0,FALSE,Neutral,Slightly biased,TRUE
50,NadiaForde6,"Revolutionizing Education: The Beneficial Impact Of AI
Discover how AI is revolutionizing education, empowering lea… https://t.co/sBIQouTjwO",0,0,FALSE,Positive,Factual,TRUE
51,alaba_ai,"AI has come to change our entire world. Get hooked on the new intelligent age.🦾
Visit our page… https://t.co/SrDLOmWZAd",0,0,FALSE,Positive,Very biased,TRUE
52,KatieJMcNamara,Excited to be part of The AImpactEd Summit! Level up your #AI skills and explore how #ChatGPT can revolutionize tea… https://t.co/dyrETHXzG4,18,5,FALSE,Positive,Very biased,TRUE
53,AInnovationAI,📢 Check out this blog post on how Artificial Intelligence is revolutionizing San Francisco classrooms! Learn how AI… https://t.co/q280OOqQg8,0,0,FALSE,Positive,Very biased,TRUE
